"Education","Occupation","Duration","age","que_6","que_15","que_24","Location","Point","Slope","Slope_scaled","Slope_scaled_alt","que_6_scaled","que_6_delta","que_6_scaled_alt","que_6_delta_alt","que_15_scaled","que_15_delta","que_15_scaled_alt","que_15_delta_alt","que_24_scaled","que_24_delta","que_24_scaled_alt","que_24_delta_alt"
2,3,30,2,5,6,3,"Bovill",26,0.0983508576746488,0.363760354002049,0.336262006219449,0.666666666666667,0.302906312664618,0.455286224715817,0.119024218496368,0.833333333333333,0.469572979331284,1.07124815123851,0.734986145019065,0.333333333333333,-0.0304270206687157,-0.82346907429139,-1.15973108051084
4,4,30,3,6,2,4,"Bovill",27,0.0983508576746488,0.363760354002049,0.336262006219449,0.833333333333333,0.469572979331284,0.953933042261711,0.617671036042263,0.166666666666667,-0.197093687335382,-1.04064106120313,-1.37690306742258,0.5,0.136239645997951,-0.192142784001324,-0.528404790220773
3,4,30,3,7,1,6,"Bovill",28,0.0983508576746488,0.363760354002049,0.336262006219449,1,0.636239645997951,1.45257985980761,1.11631785358816,0,-0.363760354002049,-1.56861336431354,-1.90487537053299,0.833333333333333,0.469572979331284,1.07050979657881,0.734247790359359
3,1,30,2,2,3,5,"Bovill",29,0.0983508576746488,0.363760354002049,0.336262006219449,0.166666666666667,-0.197093687335382,-1.04065422792187,-1.37691623414132,0.333333333333333,-0.0304270206687157,-0.512668758092717,-0.848930764312166,0.666666666666667,0.302906312664618,0.439183506288742,0.102921500069293
3,2,35,3,1,5,4,"Bovill",30,0.0792877884115838,0.205681056376002,-0.283096229611709,0,-0.205681056376002,-1.53930104546776,-1.25620481585605,0.666666666666667,0.460985610290665,0.543275848128103,0.826372077739812,0.5,0.294318943623998,-0.192142784001324,0.0909534456103844
3,1,38,3,4,7,7,"Bovill",31,0.062769637267772,0.0687053314882031,-0.81977019383245,0.5,0.431294668511797,-0.043360592830078,0.776409601002372,1,0.931294668511797,1.59922045434892,2.41899064818137,1,0.931294668511797,1.70183608686887,2.52160628070132
4,3,35,4,5,2,5,"Bovill",32,0.0792877884115838,0.205681056376002,-0.283096229611709,0.666666666666667,0.460985610290665,0.455286224715817,0.738382454327525,0.166666666666667,-0.0390143897093354,-1.04064106120313,-0.757544831591419,0.666666666666667,0.460985610290665,0.439183506288742,0.722279735900451
4,10,67,4,7,3,5,"Bovill",33,0.0544843367093158,0,-1.088959224539,1,1,1.45257985980761,2.54153908434661,0.333333333333333,0.333333333333333,-0.512668758092717,0.576290466446286,0.666666666666667,0.666666666666667,0.439183506288742,1.52814273082775
5,1,32,3,3,4,3,"Bovill",34,0.0942902934120695,0.330088381365532,0.204334461738304,0.333333333333333,0.00324495196780156,-0.542007410375973,-0.746341872114277,0.5,0.169911618634468,0.0153035450176931,-0.189030916720611,0.333333333333333,0.00324495196780156,-0.82346907429139,-1.02780353602969
2,2,33,3,3,4,2,"Bovill",35,0.0853370243581112,0.255843963324782,-0.0865568343933952,0.333333333333333,0.077489370008551,-0.542007410375973,-0.455450575982577,0.5,0.244156036675218,0.0153035450176931,0.101860379411088,0.166666666666667,-0.0891772966581157,-1.45479536458146,-1.36823853018806
4,2,50,4,3,5,2,"Bovill",36,0.0544843367093158,0,-1.088959224539,0.333333333333333,0.333333333333333,-0.542007410375973,0.546951814163031,0.666666666666667,0.666666666666667,0.543275848128103,1.63223507266711,0.166666666666667,0.166666666666667,-1.45479536458146,-0.365836140042453
5,3,34,3,3,6,4,"Bovill",37,0.0824823267026167,0.232171563351414,-0.179305828762528,0.333333333333333,0.101161769981919,-0.542007410375973,-0.362701581613445,0.833333333333333,0.601161769981919,1.07124815123851,1.25055398000104,0.5,0.267828436648586,-0.192142784001324,-0.0128369552387963
5,4,32,4,1,4,5,"Bovill",38,0.0942902934120695,0.330088381365532,0.204334461738304,0,-0.330088381365532,-1.53930104546776,-1.74363550720607,0.5,0.169911618634468,0.0153035450176931,-0.189030916720611,0.666666666666667,0.336578285301135,0.439183506288742,0.234849044550437
4,5,30,3,2,2,4,"Bovill",39,0.0983508576746488,0.363760354002049,0.336262006219449,0.166666666666667,-0.197093687335382,-1.04065422792187,-1.37691623414132,0.166666666666667,-0.197093687335382,-1.04064106120313,-1.37690306742258,0.5,0.136239645997951,-0.192142784001324,-0.528404790220773
