"date","pdsi","coord","day","month","year"
1983-12-16,2.98,"Bovill",16,12,1983
1983-12-21,3.01,"Bovill",21,12,1983
1983-12-26,3.04,"Bovill",26,12,1983
1983-12-31,3.08,"Bovill",31,12,1983
1984-01-05,3.16,"Bovill",5,1,1984
1984-01-10,3.15,"Bovill",10,1,1984
1984-01-15,3.08,"Bovill",15,1,1984
1984-01-20,3,"Bovill",20,1,1984
1984-01-25,3.01,"Bovill",25,1,1984
1984-01-30,2.97,"Bovill",30,1,1984
1984-02-04,2.86,"Bovill",4,2,1984
1984-02-09,2.75,"Bovill",9,2,1984
1984-02-14,2.71,"Bovill",14,2,1984
1984-02-19,2.66,"Bovill",19,2,1984
1984-02-24,2.53,"Bovill",24,2,1984
1984-02-29,2.41,"Bovill",29,2,1984
1984-03-05,2.3,"Bovill",5,3,1984
1984-03-10,2.23,"Bovill",10,3,1984
1984-03-15,2.17,"Bovill",15,3,1984
1984-03-20,2.17,"Bovill",20,3,1984
1984-03-25,2.19,"Bovill",25,3,1984
1984-03-30,2.24,"Bovill",30,3,1984
1984-04-04,2.27,"Bovill",4,4,1984
1984-04-09,2.36,"Bovill",9,4,1984
1984-04-14,2.4,"Bovill",14,4,1984
1984-04-19,2.43,"Bovill",19,4,1984
1984-04-24,2.4,"Bovill",24,4,1984
1984-04-29,2.35,"Bovill",29,4,1984
1984-05-04,2.36,"Bovill",4,5,1984
1984-05-09,2.35,"Bovill",9,5,1984
1984-05-14,2.35,"Bovill",14,5,1984
1984-05-19,2.37,"Bovill",19,5,1984
1984-05-24,2.47,"Bovill",24,5,1984
1984-05-29,2.58,"Bovill",29,5,1984
1984-06-03,2.64,"Bovill",3,6,1984
1984-06-08,2.74,"Bovill",8,6,1984
1984-06-13,2.82,"Bovill",13,6,1984
1984-06-18,2.86,"Bovill",18,6,1984
1984-06-23,2.91,"Bovill",23,6,1984
1984-06-28,2.97,"Bovill",28,6,1984
1984-07-03,3.04,"Bovill",3,7,1984
1984-07-08,3.05,"Bovill",8,7,1984
1984-07-13,3.06,"Bovill",13,7,1984
1984-07-18,3.1,"Bovill",18,7,1984
1984-07-23,3.09,"Bovill",23,7,1984
1984-07-28,3.11,"Bovill",28,7,1984
1984-08-02,3.16,"Bovill",2,8,1984
1984-08-07,3.17,"Bovill",7,8,1984
1984-08-12,3.15,"Bovill",12,8,1984
1984-08-17,3.12,"Bovill",17,8,1984
1984-08-22,3.03,"Bovill",22,8,1984
1984-08-27,2.92,"Bovill",27,8,1984
1984-09-01,2.89,"Bovill",1,9,1984
1984-09-06,2.89,"Bovill",6,9,1984
1984-09-11,2.9,"Bovill",11,9,1984
1984-09-16,2.87,"Bovill",16,9,1984
1984-09-21,2.9,"Bovill",21,9,1984
1984-09-26,3,"Bovill",26,9,1984
1984-10-01,3,"Bovill",1,10,1984
1984-10-06,2.97,"Bovill",6,10,1984
1984-10-11,2.96,"Bovill",11,10,1984
1984-10-16,2.98,"Bovill",16,10,1984
1984-10-21,2.94,"Bovill",21,10,1984
1984-10-26,2.92,"Bovill",26,10,1984
1984-10-31,2.92,"Bovill",31,10,1984
1984-11-05,2.98,"Bovill",5,11,1984
1984-11-10,3.05,"Bovill",10,11,1984
1984-11-15,3.1,"Bovill",15,11,1984
1984-11-20,3.16,"Bovill",20,11,1984
1984-11-25,3.17,"Bovill",25,11,1984
1984-11-30,3.2,"Bovill",30,11,1984
1984-12-05,3.19,"Bovill",5,12,1984
1984-12-10,3.21,"Bovill",10,12,1984
1984-12-15,3.24,"Bovill",15,12,1984
1984-12-20,3.26,"Bovill",20,12,1984
1984-12-25,3.29,"Bovill",25,12,1984
1984-12-30,3.4,"Bovill",30,12,1984
1985-01-05,3.52,"Bovill",5,1,1985
1985-01-10,3.53,"Bovill",10,1,1985
1985-01-15,3.48,"Bovill",15,1,1985
1985-01-20,3.43,"Bovill",20,1,1985
1985-01-25,3.29,"Bovill",25,1,1985
1985-01-30,3.07,"Bovill",30,1,1985
1985-02-04,2.86,"Bovill",4,2,1985
1985-02-09,2.74,"Bovill",9,2,1985
1985-02-14,2.66,"Bovill",14,2,1985
1985-02-19,2.55,"Bovill",19,2,1985
1985-02-24,2.47,"Bovill",24,2,1985
1985-03-01,2.39,"Bovill",1,3,1985
1985-03-06,2.3,"Bovill",6,3,1985
1985-03-11,2.14,"Bovill",11,3,1985
1985-03-16,1.95,"Bovill",16,3,1985
1985-03-21,1.79,"Bovill",21,3,1985
1985-03-26,1.67,"Bovill",26,3,1985
1985-03-31,1.59,"Bovill",31,3,1985
1985-04-05,1.52,"Bovill",5,4,1985
1985-04-10,1.44,"Bovill",10,4,1985
1985-04-15,1.37,"Bovill",15,4,1985
1985-04-20,1.32,"Bovill",20,4,1985
1985-04-25,1.26,"Bovill",25,4,1985
1985-04-30,1.15,"Bovill",30,4,1985
1985-05-05,1.06,"Bovill",5,5,1985
1985-05-10,1.01,"Bovill",10,5,1985
1985-05-15,0.98,"Bovill",15,5,1985
